"ANO";"CD_ENTRE";"DIA_SEM";"UCOD_DOM";"ZONA_DOM";"SUBZONA_DOM";"MUN_DOM";"CO_DOM_X";"CO_DOM_Y";"ID_DOM";"F_DOM";"FE_DOM";"NO_DOM";"TIPO_DOM";"TOT_FAM";"ID_FAM";"F_FAM";"FE_FAM";"NO_FAM";"COND_MORA";"QT_AUTO";"QT_BICI";"QT_MOTO";"CD_RENFAM";"REN_FAM";"ID_PESS";"F_PESS";"FE_PESS";"NO_PESS";"SIT_FAM";"IDADE";"SEXO";"ESTUDA";"GRAU_INSTR";"OCUP";"SETOR_ATIV";"CD_RENIND";"REN_IND";"UCOD_ESC";"ZONA_ESC";"SUBZONA_ESC";"MUN_ESC";"CO_ESC_X";"CO_ESC_Y";"UCOD_TRAB1";"ZONA_TRAB1";"SUBZONA_TRAB1";"MUN_TRAB1";"CO_TRAB1_X";"CO_TRAB1_Y";"UCOD_TRAB2";"ZONA_TRAB2";"SUBZONA_TRAB2";"MUN_TRAB2";"CO_TRAB2_X";"CO_TRAB2_Y";"ID_VIAG";"F_VIAG";"FE_VIAG";"NO_VIAG";"TOT_VIAG";"UCOD_ORIG";"ZONA_ORIG";"SUBZONA_ORIG";"MUN_ORIG";"CO_ORIG_X";"CO_ORIG_Y";"UCOD_DEST";"ZONA_DEST";"SUBZONA_DEST";"MUN_DEST";"CO_DEST_X";"CO_DEST_Y";"DIST_VIAG";"SERV_PAS_ORIG";"SERV_PAS_DEST";"MOTIVO_ORIG";"MOTIVO_DEST";"MODO1";"MODO2";"MODO3";"MODO4";"MODO_PRIN";"TIPO_VIAG";"H_SAIDA";"MIN_SAIDA";"ANDA_ORIG";"H_CHEG";"MIN_CHEG";"ANDA_DEST";"DURACAO";"TIPO_EST_AUTO";"VALOR_EST_AUTO";"FAIXA_ETARIA";"FAIXA_REN_FAM";"FAIXA_REN_IND";"FAIXA_HORARIA";"VIAG_MODO_ONIBUS";"VIAG_MODO_DIRIG";"VIAG_MODO_PASS";"VIAG_MODO_TREM";"VIAG_MODO_MOTO";"VIAG_MODO_BICI";"VIAG_MODO_APE";"VIAG_MODO_OUTROS";"VIAG_NO_MODOS";"PESS_DIST_TOT";"PESS_DIST_MED";"FAM_DIST_TOT";"FAM_DIST_MED";"PESS_DURACAO_TOT";"PESS_DURACAO_MED";"FAM_DURACAO_TOT";"FAM_VIAG_TOT";"FAM_DURACAO_MED";"PESS_MODO_ONIBUS";"PESS_MODO_DIRIG";"PESS_MODO_PASS";"PESS_MODO_TREM";"PESS_MODO_MOTO";"PESS_MODO_BICI";"PESS_MODO_APE";"PESS_MODO_OUTROS";"PESS_NO_MODOS";"VIAG_MOTIVO_TRAB";"VIAG_MOTIVO_EDUC";"VIAG_MOTIVO_RES";"VIAG_MOTIVO_OUTROS";"PESS_MOTIVO_TRAB";"PESS_MOTIVO_EDUC";"PESS_MOTIVO_RES";"PESS_MOTIVO_OUTROS";"PESS_NO_MOTIVOS";"VIAG_PER_MADRUG";"VIAG_PER_COM_MAN";"VIAG_PER_MANHA";"VIAG_PER_MEIODIA";"VIAG_PER_TARDE";"VIAG_PER_COM_NOI";"VIAG_PER_NOITE";"PESS_PER_MADRUG";"PESS_PER_COM_MAN";"PESS_PER_MANHA";"PESS_PER_MEIODIA";"PESS_PER_TARDE";"PESS_PER_COM_NOI";"PESS_PER_NOITE";"PESS_NO_PERIODOS";"FX_ET_0";"FX_ET_1";"FX_ET_2";"FX_ET_3";"FX_ET_4";"FX_ET_5";"FX_ET_6";"FX_ET_7";"FX_ET_8";"FX_ET_9";"FX_ET_10";"FX_ET_11";"FX_ET_12";"FX_ET_13";"FX_ET_14";"FX_ET_15";"FX_ET_16";"FX_ET_17";"FX_ET_18";"FX_ET_19";"FX_ET_20";"PRESENCA_IDOSO_60_70";"PRESENCA_IDOSO_70";"PRESENCA_FILH_ate4";"PRESENCA_FILH_5a9";"PRESENCA_FILH_10a14";"PRESENCA_FILH_15a19"
1;1;NA;1;1;30;1;-46,6321;-23,5465;"10010001";1;24,66;1;1;1;"1001000101";1;24,66;1;1;0;NA;NA;1;2111,73;"100100010101";1;24,66;1;1;59;1;0;2;1;3;1;2111,73;NA;0;0;0;NA;NA;6;35;497;1;-46,5793;-23,5767;NA;0;0;0;NA;NA;"10010001010101";1;36;1;4;1;1;30;1;-46,6321;-23,5465;6;15;306;1;-46,5939;-23,5671;4,53016691767584;2;2;8;1;1;0;0;NA;1;1;8;30;1;8;45;1;15;0;0;11;3;5;2;1;0;0;0;0;0;0;0;1;0,0868062;0,02170155;0,0868062;0,02170155;60;15;60;4;15;1;0;1;0;0;0;2;0;3;1;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;NA;1;1;30;1;-46,6321;-23,5465;"10010001";0;24,66;1;1;1;"1001000101";0;24,66;1;1;0;NA;NA;1;2111,73;"100100010101";0;24,66;1;1;59;1;0;2;1;3;1;2111,73;NA;0;0;0;NA;NA;6;35;497;1;-46,5793;-23,5767;NA;0;0;0;NA;NA;"10010001010102";1;24,17;2;4;6;15;306;1;-46,5939;-23,5671;1;1;30;1;-46,6321;-23,5465;4,53016691767543;2;2;1;8;4;0;0;NA;4;2;13;0;1;13;15;1;15;0;0;11;3;5;4;0;0;1;0;0;0;0;0;1;0,0868062;0,02170155;0,0868062;0,02170155;60;15;60;4;15;1;0;1;0;0;0;2;0;3;0;0;1;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;NA;1;1;30;1;-46,6321;-23,5465;"10010001";0;24,66;1;1;1;"1001000101";0;24,66;1;1;0;NA;NA;1;2111,73;"100100010101";0;24,66;1;1;59;1;0;2;1;3;1;2111,73;NA;0;0;0;NA;NA;6;35;497;1;-46,5793;-23,5767;NA;0;0;0;NA;NA;"10010001010103";1;24,66;3;4;1;1;30;1;-46,6321;-23,5465;1;1;18;1;-46,6321;-23,5465;0;2;2;8;1;11;0;0;NA;11;3;16;30;0;16;45;0;15;0;0;11;3;5;5;0;0;0;0;0;0;1;0;1;0,0868062;0,02170155;0,0868062;0,02170155;60;15;60;4;15;1;0;1;0;0;0;2;0;3;1;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;NA;1;1;30;1;-46,6321;-23,5465;"10010001";0;24,66;1;1;1;"1001000101";0;24,66;1;1;0;NA;NA;1;2111,73;"100100010101";0;24,66;1;1;59;1;0;2;1;3;1;2111,73;NA;0;0;0;NA;NA;6;35;497;1;-46,5793;-23,5767;NA;0;0;0;NA;NA;"10010001010104";1;24,66;4;4;1;1;18;1;-46,6321;-23,5465;1;1;30;1;-46,6321;-23,5465;0;2;2;1;8;11;0;0;NA;11;3;19;0;0;19;15;0;15;0;0;11;3;5;6;0;0;0;0;0;0;1;0;1;0,0868062;0,02170155;0,0868062;0,02170155;60;15;60;4;15;1;0;1;0;0;0;2;0;3;0;0;1;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;NA;1;1;30;1;-46,6321;-23,5465;"10010001";0;24,66;1;1;1;"1001000101";0;24,66;1;1;0;NA;NA;1;2111,73;"100100010102";1;24,66;2;2;48;2;0;2;6;9;2;0;NA;0;0;0;NA;NA;NA;0;0;0;NA;NA;NA;0;0;0;NA;NA;"10010001010200";0;0;0;0;NA;0;0;0;NA;NA;NA;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;NA;0;3;0;0;0;0;0;0;0;0;0;9;3;0;0;0;0;0;0;0;0;0;0;0;0;NA;0,0868062;0,02170155;0;NA;60;4;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;NA;1;1;30;1;-46,6321;-23,5465;"10010002";1;24,66;2;1;1;"1001000201";1;24,66;1;1;1;NA;NA;1;3378,77;"100100020101";1;24,66;1;1;58;1;0;2;1;4;1;1267,04;NA;0;0;0;NA;NA;1;1;27;1;-46,6321;-23,5465;NA;0;0;0;NA;NA;"10010002010101";1;24,66;1;4;1;1;30;1;-46,6321;-23,5465;1;1;27;1;-46,6321;-23,5465;0;2;2;8;2;11;0;0;NA;11;3;7;0;0;7;15;0;15;0;0;11;3;4;2;0;0;0;0;0;0;1;0;1;0;0;0,0307402;0,003842525;60;15;120;8;15;0;0;0;0;0;0;4;0;1;1;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;NA;1;1;30;1;-46,6321;-23,5465;"10010002";0;24,66;2;1;1;"1001000201";0;24,66;1;1;1;NA;NA;1;3378,77;"100100020101";0;24,66;1;1;58;1;0;2;1;4;1;1267,04;NA;0;0;0;NA;NA;1;1;27;1;-46,6321;-23,5465;NA;0;0;0;NA;NA;"10010002010102";1;24,66;2;4;1;1;27;1;-46,6321;-23,5465;1;1;30;1;-46,6321;-23,5465;0;2;2;2;8;11;0;0;NA;11;3;12;0;0;12;15;0;15;0;0;11;3;4;4;0;0;0;0;0;0;1;0;1;0;0;0,0307402;0,003842525;60;15;120;8;15;0;0;0;0;0;0;4;0;1;0;0;1;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;NA;1;1;30;1;-46,6321;-23,5465;"10010002";0;24,66;2;1;1;"1001000201";0;24,66;1;1;1;NA;NA;1;3378,77;"100100020101";0;24,66;1;1;58;1;0;2;1;4;1;1267,04;NA;0;0;0;NA;NA;1;1;27;1;-46,6321;-23,5465;NA;0;0;0;NA;NA;"10010002010103";1;24,66;3;4;1;1;30;1;-46,6321;-23,5465;1;1;27;1;-46,6321;-23,5465;0;2;2;8;2;11;0;0;NA;11;3;12;45;0;13;0;0;15;0;0;11;3;4;4;0;0;0;0;0;0;1;0;1;0;0;0,0307402;0,003842525;60;15;120;8;15;0;0;0;0;0;0;4;0;1;1;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;NA;1;1;30;1;-46,6321;-23,5465;"10010002";0;24,66;2;1;1;"1001000201";0;24,66;1;1;1;NA;NA;1;3378,77;"100100020101";0;24,66;1;1;58;1;0;2;1;4;1;1267,04;NA;0;0;0;NA;NA;1;1;27;1;-46,6321;-23,5465;NA;0;0;0;NA;NA;"10010002010104";1;24,66;4;4;1;1;27;1;-46,6321;-23,5465;1;1;30;1;-46,6321;-23,5465;0;2;2;2;8;11;0;0;NA;11;3;17;30;0;17;45;0;15;0;0;11;3;4;6;0;0;0;0;0;0;1;0;1;0;0;0,0307402;0,003842525;60;15;120;8;15;0;0;0;0;0;0;4;0;1;0;0;1;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;NA;1;1;30;1;-46,6321;-23,5465;"10010002";0;24,66;2;1;1;"1001000201";0;24,66;1;1;1;NA;NA;1;3378,77;"100100020102";1;24,66;2;2;48;2;0;2;1;4;1;2111,73;NA;0;0;0;NA;NA;1;9;47;1;-46,6397;-23,5455;NA;0;0;0;NA;NA;"10010002010201";1;24,66;1;4;1;1;30;1;-46,6321;-23,5465;1;9;47;1;-46,6397;-23,5455;0,848307253270845;2;2;8;2;11;0;0;NA;11;3;7;0;0;7;15;0;15;0;0;9;3;5;2;0;0;0;0;0;0;1;0;1;0,0307402;0,00768505;0,0307402;0,003842525;60;15;120;8;15;0;0;0;0;0;0;4;0;1;1;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
